,NOUN,.,NUM,ADJ,VERB,DET,ADP,CONJ,X,ADV,PRT,PRON
is,0.0,0.0,0.0,0.0,0.06760092364041723,0.0,0.0,0.0,0.0001287664177182591,0.0,0.0,0.0
chairman,0.0004755686358586548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,0.0,0.0,0.0,0.0,0.0,0.0,0.2641931574531556,0.0,0.0002575328354365182,0.0,0.0,0.0
elsevier,3.898103572611924e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n.v.,1.1694310717835772e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dutch,1.1694310717835772e-05,0.0,0.0,0.00014346828046744574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
publishing,6.236965716179079e-05,0.0,0.0,0.0,9.953021737399474e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group,0.0016605921219326797,0.0,0.0,0.0,2.654139129973193e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rudolph,2.3388621435671545e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agnew,3.898103572611924e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0011343960833482597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and,1.1694310717835772e-05,0.0,0.0,3.912771285475793e-05,0.0,0.0,7.76855908766042e-06,0.7478409443926686,0.00038629925315477725,0.0,0.0,0.0
former,0.0,0.0,0.0,0.0018390025041736227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
consolidated,7.796207145223849e-06,0.0,0.0,0.0,3.9812086949597896e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gold,0.0001286374178961935,0.0,0.0,0.0001695534223706177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fields,0.0002728672500828347,0.0,0.0,0.0,6.635347824932983e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plc,5.067534644395502e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
was,0.0,0.0,0.0,0.0,0.04392600260105635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
named,0.0,0.0,0.0,0.0,0.0005241924781697057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
*-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14460468709760493,0.0,0.0,0.0
this,0.0,0.0,0.0,0.0,0.0,0.03900479901977468,0.0,0.0,0.0,2.228610906821778e-05,0.0,0.0
british,7.406396787962656e-05,0.0,0.0,0.0013433848080133556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industrial,2.3388621435671545e-05,0.0,0.0,0.0020607262103505843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conglomerate,1.1694310717835772e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
form,0.0012551893503810396,0.0,0.0,0.0,0.00032513204342171615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asbestos,4.677724287134309e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
once,0.0,0.0,0.0,0.0,0.0,0.0,0.00045834498617196485,0.0,0.0,0.006396113302578503,0.0,0.0
used,0.0,0.0,0.0,2.6085141903171954e-05,0.003855137086286063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12425959309812001,0.0,0.0,0.0
to,3.898103572611924e-06,0.0,0.0,1.3042570951585977e-05,0.0,0.0,0.07028215406606382,0.0,0.00038629925315477725,2.228610906821778e-05,0.5898154042011458,0.0
make,7.796207145223849e-06,0.0,0.0,0.0,0.004445683042705099,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kent,8.575827859746233e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cigarette,5.457345001656694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
filters,4.287913929873117e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has,0.0,0.0,0.0,0.0,0.017742920083870798,0.0,0.0,0.0,0.0001287664177182591,0.0,0.0,0.0
caused,0.0,0.0,0.0,0.0,0.0006237226955437004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high,0.0001286374178961935,0.0,0.0,0.00560830550918197,0.0,0.0,0.0,0.0,0.0,0.0005794388357736622,0.0,0.0
percentage,0.00021829380006626776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cancer,0.00011694310717835772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deaths,5.457345001656694e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
among,0.0,0.0,0.0,0.0,0.0,0.0,0.002812218389733072,0.0,0.0001287664177182591,0.0,0.0,0.0
workers,0.00040540277155164014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exposed,0.0,0.0,0.0,0.0,0.00020569578257292247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
it,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206334703822141
more,5.067534644395502e-05,0.0,0.0,0.012364357262103505,0.0,0.0,0.0,0.0,0.0001287664177182591,0.02489358382919926,0.0,0.0
than,0.0,0.0,0.0,0.0,0.0,0.0,0.013416301544389546,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.009433399008896054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ago,0.0,0.0,0.0,0.0,0.0,0.0,0.00017090829992852925,0.0,0.0,0.004457221813643556,0.0,0.0
researchers,7.016586430701463e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reported,0.0,0.0,0.0,0.0,0.0009554900867903496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0013135112544032479,0.0,0.0,0.0,0.0,0.0,0.14151429307236674,0.0,0.0,0.0
*t*-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10378573268091681,0.0,0.0,0.0
fiber,0.00010914690003313388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crocidolite,1.9490517863059623e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unusually,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015600276347752445,0.0,0.0
resilient,0.0,0.0,0.0,1.3042570951585977e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enters,0.0,0.0,0.0,0.0,0.00011280091302386072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lungs,5.067534644395502e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
with,0.0,0.0,0.0,0.0,0.0,0.0,0.047318293402939623,0.0,0.0,2.228610906821778e-05,0.0,0.0
even,0.0,0.0,0.0,0.0003260642737896494,4.644743477453088e-05,0.0,0.0,0.0,0.0001287664177182591,0.020146642597668872,0.0,0.0
brief,1.9490517863059623e-05,0.0,0.0,0.0007695116861435726,6.635347824932983e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exposures,1.9490517863059623e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
causing,3.898103572611924e-06,0.0,0.0,0.0,0.0001260716086737267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
symptoms,4.677724287134309e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.0,0.0,0.0,0.0,0.0,0.01538409175998094,0.04592772132624841,0.0,0.0001287664177182591,0.0006685832720465334,0.0,0.044952032891731386
show,0.00031184828580895396,0.0,0.0,0.0,0.0011280091302386071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up,0.0,0.0,0.0,0.0,0.0,0.0,0.000978838445045213,0.0,0.0,0.0010920193443426712,0.04502440059410142,0.0
decades,0.0001442298321866412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
later,0.0,0.0,0.0,0.0008608096828046745,0.0,0.0,0.0,0.0,0.0,0.005504668939849792,0.0,0.0
said,0.0,0.0,0.0,0.0,0.010377683998195185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
*t*-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04442441411279938,0.0,0.0,0.0
lorillard,1.9490517863059623e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inc.,0.00037811604654335664,0.0,0.0,0.0,0.0001260716086737267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unit,0.000518447775157386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
new,0.0006236965716179079,0.0,0.0,0.021546327212020034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
york-based,3.898103572611924e-06,0.0,0.0,5.217028380634391e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loews,3.898103572611924e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corp.,0.0004989572572943263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
makes,1.1694310717835772e-05,0.0,0.0,0.0,0.0010881970432890093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cigarettes,3.1184828580895395e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stopped,0.0,0.0,0.0,0.0,0.0004180269129707779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
using,0.0,0.0,0.0,2.6085141903171954e-05,0.0009422193911404836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in,1.5592414290447698e-05,0.0,0.0,0.0,0.0,0.0,0.15139367950032628,0.0,0.00038629925315477725,4.457221813643556e-05,0.010821133036282623,0.0
its,0.0,0.0,0.0,0.0,0.0,0.014022667710425105,0.0,0.0,0.0,0.0,0.0,0.010446170245165221
micronite,3.898103572611924e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,0.0,0.0,0.0017911517105498836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
although,0.0,0.0,0.0,0.0,0.0,0.0,0.0023927161989994094,0.0,0.0,0.0,0.0,0.0
preliminary,3.898103572611924e-06,0.0,0.0,0.00035214941569282137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
findings,0.0001598222464770889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
were,0.0,0.0,0.0,0.0,0.01757040104042254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
*-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047901107391192375,0.0,0.0,0.0
year,0.0031808525152513304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002575328354365182,0.0,0.0,0.0
latest,0.0,0.0,0.0,0.0006912562604340567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results,0.0005886136394644006,0.0,0.0,0.0,0.00011280091302386072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appear,0.0,0.0,0.0,0.0,0.000769700347692226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
today,0.0011148576217670104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
's,0.0,0.0,0.0,0.0,0.0006900761737930303,0.0,0.0,0.0,0.0,0.0,0.032293655845533634,0.0
england,0.0006626776073440271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
journal,0.00020270138577582007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medicine,0.00013253552146880542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forum,3.1184828580895395e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
likely,0.0,0.0,0.0,0.0018781302170283807,0.0,0.0,0.0,0.0,0.0,0.00042343607229613784,0.0,0.0
bring,0.0,0.0,0.0,0.0,0.0009223133476656847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attention,0.0005808174323191767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
problem,0.0012434950396632038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spokewoman,3.898103572611924e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
``,0.0,0.049822453341411284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
an,0.0,0.0,0.0,0.0,0.0,0.029219563663592116,0.0,0.0,0.0002575328354365182,0.0,0.0,0.0
story,0.0004950591537217143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
we,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07004720572559768
're,0.0,0.0,0.0,0.0,0.0001924250869230565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
talking,0.0,0.0,0.0,0.0,0.000384850173846113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
about,0.0,0.0,0.0,0.0,0.0,0.0,0.007815170442186383,0.0,0.0001287664177182591,0.010630474025539882,0.000976023764056864,0.0
before,0.0,0.0,0.0,0.0,0.0,0.0,0.005135017556943538,0.0,0.0001287664177182591,0.0022063247977535602,0.0,0.0
anyone,0.000413198978696864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heard,2.728672500828347e-05,0.0,0.0,0.0,0.0008559598694163548,0.0,0.0,0.0,0.0,0.0,0.0,0.0
having,0.0,0.0,0.0,0.0,0.0014597765214852563,0.0,0.0,0.0,0.0,0.0,0.0,0.0
any,0.0,0.0,0.0,0.0,0.0,0.010057520166093735,0.0,0.0,0.0,0.0003120055269550489,0.0,0.0
questionable,0.0,0.0,0.0,0.00015651085141903172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
properties,0.0002533767322197751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
there,0.0,0.0,0.0,0.0,0.0,0.0007487832272557095,0.0,0.0,0.0,0.006663546611397116,0.06895820072140887,0.0
no,0.0,0.0,0.0,0.0,0.0,0.011606140022463497,0.0,0.0,0.0001287664177182591,0.004657796795257516,0.0,0.0
our,0.0,0.0,0.0,0.0,0.0,0.009453388244103331,0.0,0.0,0.0,0.0,0.0,0.000791837977767626
products,0.0005418363965930575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
now,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02097122863319293,0.0,0.0
'',0.0,0.04935123946079669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neither,0.0,0.0,0.0,0.0,0.0,0.000289302610530615,0.0,0.0024852438645542093,0.0,0.0,0.0,0.0
nor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005374339857098478,0.0,0.0,0.0,0.0
who,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062189736561595856
*t*-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01249034251867113,0.0,0.0,0.0
studied,0.0,0.0,0.0,0.0,0.0004312976086206439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aware,0.0,0.0,0.0,0.0007825542570951586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
research,0.0008614808895472353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,3.898103572611924e-06,0.0,0.0,0.0,0.0,0.0,0.04095584351014574,0.0,0.0002575328354365182,2.228610906821778e-05,0.013027795459367707,0.0
smokers,1.1694310717835772e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
have,7.796207145223849e-06,0.0,0.0,0.0,0.02306446903946705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
useful,0.0,0.0,0.0,0.0007564691151919867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
information,0.0010992652074765627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whether,0.0,0.0,0.0,0.0,0.0,0.0,0.002136353749106616,0.0,0.0,0.0,0.0,0.0
users,2.728672500828347e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
are,3.898103572611924e-06,0.0,0.0,0.0,0.029845794516548556,0.0,7.76855908766042e-06,0.0,0.0,0.0,0.0,0.0
at,0.0,0.0,0.0,0.0,0.0,0.0,0.03418942854479351,0.0,0.0,0.0,0.0,0.0
risk,0.00018321086791276043,0.0,0.0,0.0,9.289486954906176e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
james,0.00045997622156820705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a.,0.0004989572572943263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
talcott,1.5592414290447698e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boston,0.0002884596643732824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dana-farber,3.898103572611924e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
institute,0.0002533767322197751,0.0,0.0,0.0,1.3270695649865965e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dr.,0.0007484358859414894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
led,0.0,0.0,0.0,0.0,0.0008161477824667569,0.0,0.0,0.0,0.0,0.0,0.0,0.0
team,0.00034693121796246126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
from,0.0,0.0,0.0,0.0,0.0,0.0,0.03046052018271651,0.0,0.0,0.0,0.0,0.0
national,9.355448574268618e-05,0.0,0.0,0.004877921535893155,0.0,0.0,0.0,0.0,0.0001287664177182591,0.0,0.0,0.0
medical,1.1694310717835772e-05,0.0,0.0,0.002086811352253756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
schools,0.0007757226109497729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
harvard,0.0001442298321866412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
university,0.0009238505467090261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spokeswoman,3.1184828580895395e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
very,0.0,0.0,0.0,0.001043405676126878,0.0,0.0,0.0,0.0,0.0,0.012814512714225224,0.0,0.0
modest,0.0,0.0,0.0,0.0003912771285475793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amounts,0.00010524879646052196,0.0,0.0,0.0,0.00013934230432359265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
making,9.355448574268618e-05,0.0,0.0,0.0,0.0013137988693367306,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper,0.0005808174323191767,0.0,0.0,0.0,6.635347824932983e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,1.1694310717835772e-05,0.0,0.0,0.0,0.0,0.0,0.06792051210341506,0.0,0.0,0.00013371665440930667,4.2435815828559307e-05,0.0
early,1.9490517863059623e-05,0.0,0.0,0.0033128130217028383,0.0,0.0,0.0,0.0,0.0,0.002050322034276036,0.0,0.0
1950s,1.1694310717835772e-05,0.0,0.00011941011403665891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
replaced,0.0,0.0,0.0,0.0,0.00026541391299731934,0.0,0.0,0.0,0.0,0.0,0.0,0.0
different,3.898103572611924e-06,0.0,0.0,0.0037693030050083474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
type,0.0007796207145223849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
filter,3.508293215350732e-05,0.0,0.0,0.0,6.635347824932983e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1953,0.0,0.0,0.0016120365394948952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1955,0.0,0.0,0.0017314466535315542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.8,0.0,0.0,0.00023882022807331782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
billion,0.0,0.0,0.013194817601050809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sold,0.0,0.0,0.0,0.0,0.0005042864346949068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
*-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01673963430337368,0.0,0.0,0.0
company,0.0019802366148868574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0008358707982566123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
men,0.002311575418558871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
*t*-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002961627607519959,0.0,0.0,0.0
worked,0.0,0.0,0.0,0.0,0.0006834408259680972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
closely,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015823137438434624,0.0,0.0
substance,0.00013643362504141735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0014329213684399068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
*ich*-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009013649240278136,0.0,0.0,0.0
died,0.0,0.0,0.0,0.0,0.0004246622607957109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
--,0.0,0.022761313340401542,0.0,0.0,0.0,0.0,0.0,0.0,0.0001287664177182591,0.0,0.0,0.0
three,3.898103572611924e-06,0.0,0.03236014090393456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
times,0.0010485898610326076,0.0,0.0,0.0,6.635347824932983e-06,0.0,2.3305677262981263e-05,0.0,0.0,0.0,0.0,0.0
expected,0.0,0.0,0.0,0.0,0.0014000583910608595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
number,0.0018554973005632759,0.0,0.0,0.0,1.3270695649865965e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
four,0.0,0.0,0.019284733416920413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
five,0.0,0.0,0.014627738969490716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
surviving,0.0,0.0,0.0,0.0,9.953021737399474e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asbestos-related,0.0,0.0,0.0,3.912771285475793e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diseases,9.745258931529811e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
including,0.0,0.0,0.0,0.0,0.0002853199564721183,0.0,0.0012118952176750257,0.0,0.0,0.0,0.0,0.0
recently,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030977691604822714,0.0,0.0
diagnosed,0.0,0.0,0.0,0.0,1.9906043474798948e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,0.0005457345001656694,0.0,0.0,0.0010694908180300501,6.635347824932983e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.00435846916233805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
malignant,0.0,0.0,0.0,1.3042570951585977e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mesothelioma,3.898103572611924e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lung,6.236965716179079e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asbestosis,3.898103572611924e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
far,0.0,0.0,0.0,0.00024780884808013354,0.0,0.0,7.76855908766042e-06,0.0,0.0,0.007866996501080876,0.0,0.0
higher,0.0,0.0,0.0,0.0024389607679465774,0.0,0.0,0.0,0.0,0.0,0.0003342916360232667,0.0,0.0
*?*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005794488797321659,0.0,0.0,0.0
morbidity,3.898103572611924e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rate,0.0009511372717173096,0.0,0.0,0.0,3.317673912466492e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
